"ImageID","area.mm2"
"601_GC1",2.5119078
"602_GC1",2.4682112
"603_GC1",2.742505
"605_GC1",1.7275315
"607_GC1",2.3751936
"609_GC1",2.7290931
"611_GC1",2.0143718
"613_GC2",2.5932442
"615_GC1",1.3623834
"619_GC2",2.5227238
"621_GC1",2.1978112
"623_GC1",2.6334797
"626_GC1",2.0204288
"628_GC1",1.3965619
"630_GC2",1.9598592
"632_GC2",2.623529
"634_GC2",2.3669734
"636_GC1",1.3571917
"638_GC1",2.1342131
"644_GC2",2.2025702
"705_GC1",1.1953843
"706_GC1",1.1586099
"709_GC2",0.8639821
"711_GC1",0.6446336
"712_GC2",2.1013325
"714_GC1",1.0794368
"715_GC1",2.5205606
"717_GC1",1.4804941
"722_GC1",1.9737037
"725_GC1",2.428841
"727_GC1",2.3609165
"729_GC1",2.2726579
"730_GC1",1.6358118
"815_GC1",1.9200563
"818_GC1",2.0295142
"822_GC2",1.7608448
"824_GC1",2.7381786
"826_GC1",1.7578163
"830_GC1",1.3100339
"832_GC2",2.0013926
"834_GC2",2.3310643
"836_GC1",1.9114035
"840_GC2",2.0459546
"843_GC2",1.5678874
"845_GC1",2.7139507
"847_GC1",2.0282163
"853_GC1",2.710057
"855_GC1",2.4933043
"857_GC1",2.5543066
"859_GC1",2.6832333
"860_GC1",2.0498483
"862_GC1",2.189591
"864_GC2",1.8824166
"870_GC1",2.2120883
"874_GC1",2.104361
"880_GC1",1.4489114
"907_GC2",2.4002867
"909_GC2",2.0390323
"919_GC2",1.735319
"921_GC2",2.3250074
"923_GC2",1.9676467
"925_GC1",2.6741478
"930_GC1",2.6209331
"938_GC1",2.9917056
"939_GC1",2.7667328
"946_GC1",2.3786547
"948_GC2",2.6096845
"957_GC2",1.7617101
